base_price,competitor_price,demand,inventory,time_to_event,distance,demand_ratio,final_price,season_Autumn,season_Monsoon,season_Summer,season_Winter,customer_type_New,customer_type_Premium,customer_type_Regular
960,2793,74,371,451,755,0.19946091644204852,1080.04,0,1,0,0,0,1,0
3872,725,902,213,427,735,4.234741784037559,9053.03,0,0,0,1,0,1,0
3192,4334,279,155,390,1744,1.8,5253.71,0,1,0,0,0,1,0
566,3808,546,453,334,991,1.205298013245033,792.6,0,1,0,0,0,1,0
4526,861,109,224,448,781,0.48660714285714285,5206.02,0,0,0,1,0,0,1
3544,4079,114,114,338,222,1.0,4943.91,0,0,1,0,0,0,1
3271,3629,140,358,88,288,0.39106145251396646,3768.38,0,1,0,0,0,0,1
3019,1655,398,306,269,1925,1.3006535947712419,4428.17,0,0,0,1,0,1,0
230,3733,330,365,65,524,0.9041095890410958,315.01,0,0,1,0,0,1,0
1785,775,447,78,678,1511,5.730769230769231,5194.97,0,0,1,0,1,0,0
869,4287,28,496,64,699,0.056451612903225805,914.52,0,1,0,0,0,1,0
2491,136,234,483,270,681,0.484472049689441,3066.4,0,0,1,0,1,0,0
2533,3936,627,264,657,1829,2.375,4739.3,0,1,0,0,1,0,0
1284,1887,575,240,377,324,2.3958333333333335,2341.49,0,0,1,0,0,0,1
4655,2827,999,212,329,618,4.712264150943396,12026.11,0,0,1,0,0,1,0
3485,3980,469,371,518,1200,1.2641509433962264,5222.88,0,0,1,0,0,1,0
4217,1994,403,404,633,1963,0.9975247524752475,5941.2,0,1,0,0,1,0,0
4943,236,235,257,421,861,0.914396887159533,6520.43,0,0,1,0,1,0,0
3004,3176,921,449,313,41,2.0512249443207127,5333.79,1,0,0,0,0,1,0
574,3983,369,411,309,1848,0.8978102189781022,730.68,0,0,0,1,1,0,0
1182,761,439,405,644,1349,1.0839506172839506,1720.92,0,0,0,1,0,1,0
2658,1910,934,258,189,1785,3.62015503875969,5681.11,1,0,0,0,0,1,0
2147,514,24,153,42,1291,0.1568627450980392,2347.05,0,0,1,0,1,0,0
2847,442,569,292,590,1758,1.9486301369863013,4909.99,1,0,0,0,0,0,1
1075,2829,660,365,320,393,1.8082191780821917,1698.66,0,1,0,0,0,1,0
1906,3550,555,410,657,1137,1.353658536585366,2740.26,0,0,0,1,1,0,0
289,3765,941,250,445,1308,3.764,654.91,0,0,1,0,1,0,0
2834,3837,423,350,374,1814,1.2085714285714286,4133.94,0,0,0,1,1,0,0
3105,3997,364,384,286,203,0.9479166666666666,3990.96,1,0,0,0,0,1,0
4758,4341,466,238,171,853,1.9579831932773109,7893.04,1,0,0,0,0,1,0
